key,screens,English,Hindi,Hinglish,audit flags,review status
analytics_no_report_hint,NishthaAnalyticsScreen,No report generated yet for this month.,इस महीने के लिए अभी कोई रिपोर्ट नहीं बनी है।,is mahine ke liye abhi koi report nahi bani hai.,,Needs human review
analytics_power_hour_title,NishthaAnalyticsScreen,Your Power Hour,आपका पावर ऑवर,aapka power hour,,Needs human review
analytics_power_mode,NishthaAnalyticsScreen,Power Mode,पावर मोड,power mode,,Needs human review
analytics_scorecard_title,,Nishtha Scorecard,निष्ठा स्कोरकार्ड,Nishtha skorakarda,,Needs human review
analytics_self_discovery,NishthaAnalyticsScreen,Self-Discovery Insights,आत्म-खोज के विचार,aatma-khoj ke vichaar,,Needs human review
analytics_skill_radar,NishthaAnalyticsScreen,Skill Radar,कौशल रडार,kaushal radar,,Needs human review
analytics_sunday_scaries_title,NishthaAnalyticsScreen,The Sunday Scaries,संडे स्केरीज़,sande skeriza,,Needs human review
analytics_top_mood,,Top Mood,मुख्य मूड,main mood,,Needs human review
announcements_all_caught_up,AnnouncementsBottomSheet,You\'re all caught up!,सब देख लिया!,sab dekha liya!,,Needs human review
announcements_check_back,AnnouncementsBottomSheet,Check back later for announcements and updates.,Announcements और updates के लिए थोड़ी देर बाद देखें।,Announcements aur updates ke liye thodi der baad dekhein.,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_filter_all,AnnouncementsBottomSheet,Announcements (%1$d),सभी (%1$d),sabhi (%1$d),,Needs human review
announcements_filter_announcements,AnnouncementsBottomSheet,Announcements (%1$d),Announcements (%1$d),Announcements (%1$d),Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_filter_updates,AnnouncementsBottomSheet,Announcements (%1$d),सूचनाएं (%1$d),Announcements (%1$d),,Needs human review
announcements_general_here,AnnouncementsBottomSheet,General announcements from Parmar Sir and the Safar team will appear here.,Parmar Sir और SAFAR team के updates यहाँ दिखेंगे।,Parmar Sir aur SAFAR team ke updates yahan dikhenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_hide_item,AnnouncementsBottomSheet,Hide item %1$s,%1$s छिपाएं,%1$s chhipaayein,,Needs human review
announcements_new_count,AnnouncementsBottomSheet,%1$d new,%1$d नए,%1$d naye,,Needs human review
announcements_no_announcements,AnnouncementsBottomSheet,No announcements right now,अभी कोई announcement नहीं है,abhi koi announcement nahi hai,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_no_updates,AnnouncementsBottomSheet,No announcements right now,अभी कोई app update नहीं है,abhi koi app update nahi hai,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_none_right_now,AnnouncementsBottomSheet,No notifications right now.,अभी कोई notification नहीं है।,abhi koi notification nahi hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_open_link,AnnouncementsBottomSheet,Open link,Link खोलें,Link kholein,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_open_play_store,AnnouncementsBottomSheet,Open Play Store ↗,Play Store खोलें ↗,Play Store kholein ↗,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_open_youtube,AnnouncementsBottomSheet,Open YouTube,YouTube खोलें,YouTube kholein,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_pause_audio,AnnouncementsBottomSheet,Pause audio,Audio रोकें,Audio rokein,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_play_audio,AnnouncementsBottomSheet,Play audio,Audio चलाएं,Audio chalayen,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_playing_audio,AnnouncementsBottomSheet,Playing audio…,Audio चल रहा है…,Audio chala raha hai…,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_read_all,AnnouncementsBottomSheet,Read all,सब पढ़ें,sab padhein,,Needs human review
announcements_title,AnnouncementsBottomSheet,Notifications,Notifications,Notifications,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_type_announcement,AnnouncementsBottomSheet,ANNOUNCEMENT,ANNOUNCEMENT,ANNOUNCEMENT,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_type_app_update,AnnouncementsBottomSheet,APP UPDATE,APP UPDATE,APP UPDATE,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_type_maintenance,AnnouncementsBottomSheet,MAINTENANCE,MAINTENANCE,MAINTENANCE,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_updates_here,AnnouncementsBottomSheet,Check back later for announcements and updates.,नए versions और feature updates यहाँ दिखेंगे।,naye versions aur feature updates yahan dikhenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
announcements_youtube_video,AnnouncementsBottomSheet,YouTube video,YouTube video,YouTube video,Latin text in Hindi: inspect names/technical terms,Needs human review
app_name,AuthScreen; DashboardScreen; EkagraScreen; FocusShieldStandaloneScreen; HomeScreen; LaunchUsageQuestionnaireScreen; MehfilContent; NishthaScreen; SafarDrawerScaffold; SafarOnboardingScreen; YoutubeFocusAccessibilityTutorialSheet,SAFAR,SAFAR,SAFAR,Latin text in Hindi: inspect names/technical terms,Needs human review
app_tagline,,Your mindful journey begins here.,आपकी दिमागी यात्रा यहाँ से शुरू होती है।,Aapki mental well-being ki journey yahan se shuru hoti hai.,,Needs human review
audio_category_all,AudioLibraryPanel,All,सभी,sabhi,,Needs human review
audio_category_ambient,AudioLibrary,Ambient,एम्बिएंट,ambient,,Needs human review
audio_category_meditation,AudioLibrary,Meditation,मेडिटेशन,meditation,,Needs human review
audio_category_nature,AudioLibrary,Nature,नेचर,nature,,Needs human review
audio_category_originals,AudioLibrary,Originals,मूल ऑडियो,Original audio,,Needs human review
audio_category_raga,AudioLibrary,Indian Classical,इंडियन क्लासिकल,Indian Classical,,Needs human review
audio_desc_anxiety_relief,AudioLibrary,Sleep background noise for anxiety relief,एंग्ज़ायटी कम करने के लिए स्लीप बैकग्राउंड नॉइज़,engzayati kam karne ke liye slipa baikagraunda noiza,,Needs human review
audio_desc_bageshree_focus,AudioLibrary,"Bansuri, sitar & tabla — Bageshree raga for deep focus","बाँसुरी, सितार और तबला — डीप फ़ोकस के लिए बागेश्री राग","bamsuri, sitaara aur table — deep focus ke liye bagesri raga",,Needs human review
audio_desc_bageshree_sleep,AudioLibrary,Sitar & tanpura — Bageshree raga for deep sleep,सितार और तानपुरा — गहरी नींद के लिए बागेश्री राग,sitaara aur tanapura — gehri neend ke liye bagesri raga,,Needs human review
audio_desc_balance_energy,AudioLibrary,Deep bass frequencies to balance energy,एनर्जी बैलेंस करने के लिए डीप बेस फ़्रीक्वेंसीज़,enarji balance karne ke liye deep bass frequencies,,Needs human review
audio_desc_bhairav_morning,AudioLibrary,Sitar & tabla — Bhairav raga for morning meditation,सितार और तबला — सुबह के मेडिटेशन के लिए भैरव राग,sitaara aur table — subah ke meditation ke liye bhairava raga,,Needs human review
audio_desc_bhairav_sleep,AudioLibrary,Singing bowls & sitar — Bhairav raga for deep sleep,सिंगिंग बाउल्स और सितार — गहरी नींद के लिए भैरव राग,singinga bowls aur sitaara — gehri neend ke liye bhairava raga,,Needs human review
audio_desc_bhupali_pranayama,AudioLibrary,Sitar & tabla — Bhupali raga for pranayama,सितार और तबला — प्राणायाम के लिए भूपाली राग,sitaara aur table — pranayama ke liye bhupali raga,,Needs human review
audio_desc_bird_mornings,AudioLibrary,Forest bird sounds for gentle mornings,हल्की सुबहों के लिए जंगल की चिड़ियों की आवाज़,halki subahom ke liye jungle ki ciriyom ki awaaz,,Needs human review
audio_desc_calm_studying,AudioLibrary,Gentle synths for calm studying,शांत पढ़ाई के लिए हल्के सिंथ्स,shaant padhai ke liye halke synths,,Needs human review
audio_desc_classic_meditation,AudioLibrary,Classic meditative bells and pads,क्लासिक मेडिटेशन बेल्स और पैड्स,klasika meditation bells aur pads,,Needs human review
audio_desc_default_dhyan,AudioLibrary,Default ambient meditation sound,डिफ़ॉल्ट शांत मेडिटेशन साउंड,Meditation ke liye default ambient sound,,Needs human review
audio_desc_healing_waves,AudioLibrary,Gentle water waves and healing frequencies,हल्की पानी की लहरें और हीलिंग फ़्रीक्वेंसीज़,halki pani ki laharem aur hilinga frequencies,,Needs human review
audio_desc_reading_focus,AudioLibrary,Soft ambient waves for reading & focusing,पढ़ने और फ़ोकस के लिए हल्की एम्बिएंट वेव्स,padhne aur focus ke liye halki ambient waves,,Needs human review
audio_desc_shamanic_rest,AudioLibrary,Shamanic rest in the forest of tigers,टाइगर्स के जंगल में शमन जैसा आराम,tigers ke jungle mein samana jaisa aaraam,,Needs human review
audio_desc_silence,AudioLibrary,Meditate in silence,बिना आवाज़ के मेडिटेट करें,bina awaaz ke mediteta karein,,Needs human review
audio_desc_slow_ambient,AudioLibrary,Slow pacing ambient music,धीमी और सुकून वाली एम्बिएंट म्यूज़िक,Dheemi aur sukoon dene wali ambient music,,Needs human review
audio_desc_solitude,AudioLibrary,Deep continuous drone for ultimate solitude,पूरी शांति के लिए गहरी लगातार ड्रोन धुन,poori shaanti ke liye gehri lagataar drona dhuna,,Needs human review
audio_dhyan_name,AudioLibrary,Dhyan,ध्यान,Dhyan,,Needs human review
audio_none_name,AudioLibrary,None (Silent),कोई नहीं (साइलेंट),None (Silent),,Needs human review
audio_preview,AudioLibraryPanel,Preview,प्रीव्यू,Preview,,Needs human review
auth_back_sign_in,AuthScreen,Back to Sign In,साइन इन पर वापस जाएँ,sign in par wapas jaayein,,Needs human review
auth_confirm_password,AuthScreen,Confirm Password,पासवर्ड कन्फ़र्म करें,password confirm karein,,Needs human review
auth_continue_google,AuthScreen,Continue with Google,Google से आगे बढ़ें,Google se aage badhein,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_create_account,AuthScreen,Create your account,अपना अकाउंट बनाएं,Apna account banayein,,Needs human review
auth_create_account_btn,AuthScreen,Create Account,अकाउंट बनाएं,Account banayein,,Needs human review
auth_create_account_tagline,,Create your SAFAR account,अपना SAFAR अकाउंट बनाएं,Apna SAFAR account banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_creating_account,AuthScreen,Creating account…,अकाउंट बन रहा है…,Account ban raha hai…,,Needs human review
auth_email_address,AuthScreen,Email address,ईमेल एड्रेस,email address,,Needs human review
auth_email_retry,AuthScreen,Didn\'t receive email? Try again,ईमेल नहीं मिला? फिर से कोशिश करें,email nahi mila? phir se koshish karein,,Needs human review
auth_exam_exact_hint,AuthScreen,"Enter your exact exam (e.g., RRB NTPC)","अपने एग्ज़ाम का सही नाम लिखें (जैसे, RRB NTPC)","apne exam ka sahi naam likhein (jaise, RRB NTPC)",Latin text in Hindi: inspect names/technical terms,Needs human review
auth_footer,,SAFAR · Wellness for every aspirant,SAFAR · हर छात्र के मानसिक स्वास्थ्य के लिए,SAFAR · Har aspirant ke well-being ka saathi,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_footer_tagline,AuthStitchComponents,KAVACH • WELLNESS FOR EVERY ASPIRANT,कवच • हर एस्पिरेंट की वेलनेस के लिए,Kavach • har aspirant ki well-being ke liye,,Needs human review
auth_forgot_password,AuthScreen,Forgot password?,पासवर्ड भूल गए?,Password bhool gaye?,,Needs human review
auth_forgot_password_question,AuthStitchComponents,Forgot password?,पासवर्ड भूल गए?,password bhool gaye?,,Needs human review
auth_glad_back,AuthScreen,Glad to see you again.,आपको फिर देखकर अच्छा लगा।,Aapko phir dekhkar achha laga.,,Needs human review
auth_have_account,AuthScreen,Already have an account?,पहले से अकाउंट है?,Pehle se account hai?,,Needs human review
auth_hint_confirm_password,AuthScreen,Re-enter password,दोबारा पासवर्ड डालें,Password dobara daalein,,Needs human review
auth_hint_email,AuthScreen,you@gmail.com,you@gmail.com,you@gmail.com,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_hint_exam_type,,Select exam,परीक्षा चुनें,Exam select karein,,Needs human review
auth_hint_full_name,AuthScreen,Your full name,आपका पूरा नाम,Apna poora naam,,Needs human review
auth_hint_gender,AuthScreen,Select gender,जेंडर चुनें,Gender select karein,,Needs human review
auth_hint_password,,••••••••,••••••••,••••••••,,Needs human review
auth_hint_password_signup,AuthScreen,Min. 8 characters,कम से कम 8 अक्षर,Kam se kam 8 characters,,Needs human review
auth_hint_prep_stage,,Select stage,चरण चुनें,Stage select karein,,Needs human review
auth_label_confirm_password,,CONFIRM PASSWORD,पासवर्ड कन्फर्म करें,PASSWORD CONFIRM KAREIN,,Needs human review
auth_label_email,AuthScreen,EMAIL,ईमेल,EMAIL,,Needs human review
auth_label_exam_type,,EXAM TYPE,परीक्षा का प्रकार,EXAM TYPE,,Needs human review
auth_label_full_name,,FULL NAME,पूरा नाम,POORA NAAM,,Needs human review
auth_label_gender,,GENDER,जेंडर,GENDER,,Needs human review
auth_label_password,AuthScreen,PASSWORD,पासवर्ड,PASSWORD,,Needs human review
auth_label_prep_stage,,PREPARATION STAGE,तैयारी का चरण,PREPARATION STAGE,,Needs human review
auth_new_password_hint,AuthScreen,New Password (min 8 chars),नया पासवर्ड (कम से कम 8 अक्षर),naya password (kam se kam 8 characters),,Needs human review
auth_no_account,AuthScreen,Don\'t have an account?,अकाउंट नहीं है?,Account nahi hai?,,Needs human review
auth_remember_me,AuthStitchComponents,Remember me,मुझे याद रखें,Mujhe yaad rakhein,,Needs human review
auth_safar_logo,AuthScreen; AuthStitchComponents,SAFAR Logo,SAFAR लोगो,SAFAR logo,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_select_preparation_stage,AuthScreen,Select Preparation Stage,तैयारी का स्टेज चुनें,Preparation stage select karein,,Needs human review
auth_select_target_exam,AuthScreen,Select Target Exam,अपना एग्ज़ाम चुनें,Apna target exam select karein,,Needs human review
auth_sign_in,AuthScreen,Sign In,साइन इन,Sign in karein,,Needs human review
auth_sign_in_here,,Sign in here,यहाँ साइन इन करें,Yahan sign in karein,,Needs human review
auth_sign_in_to_continue,,Sign in to continue,आगे बढ़ने के लिए साइन इन करें,Continue karne ke liye sign in karein,,Needs human review
auth_sign_up_here,AuthScreen,Sign up here,यहाँ साइन अप करें,Yahan sign up karein,,Needs human review
auth_signing_in,AuthScreen,Signing in…,साइन इन हो रहा है…,Sign in ho raha hai…,,Needs human review
auth_start_study_journey,AuthScreen,Start your study journey with SAFAR,SAFAR के साथ अपनी पढ़ाई शुरू करें,SAFAR ke saath apni study journey shuru karein,Latin text in Hindi: inspect names/technical terms,Needs human review
auth_tagline,,Sign in to continue your journey,अपनी यात्रा जारी रखने के लिए साइन इन करें,Apna safar continue karne ke liye sign in karein,,Needs human review
auth_welcome_back,AuthScreen,Welcome back,फिर से स्वागत है,Welcome back,,Needs human review
channel_account_system,SafarNotificationChannels,Account and system,अकाउंट और सिस्टम,account aur sistama,,Needs human review
channel_account_system_desc,SafarNotificationChannels,"Security, payment, subscription, and important account alerts","सिक्योरिटी, पेमेंट, सब्सक्रिप्शन और ज़रूरी अकाउंट अलर्ट","sikyoriti, pementa, subscription aur zaruri account alert",,Needs human review
channel_achievements,SafarNotificationChannels,Achievements,अचीवमेंट्स,achievements,,Needs human review
channel_achievements_desc,SafarNotificationChannels,"Badges, streak milestones, and goal completion","बैज, स्ट्रीक माइलस्टोन और पूरे हुए गोल्स","badge, streak mailastona aur pure hue goals",,Needs human review
channel_announcements,SafarNotificationChannels,Announcements,अनाउंसमेंट्स,announcements,,Needs human review
channel_announcements_desc,SafarNotificationChannels,Admin announcements and SAFAR campaigns,एडमिन अनाउंसमेंट और SAFAR कैंपेन,admin anaunsamenta aur SAFAR kaimpena,Latin text in Hindi: inspect names/technical terms,Needs human review
channel_community,SafarNotificationChannels,Community,कम्युनिटी,community,,Needs human review
channel_community_desc,SafarNotificationChannels,"Mehfil replies, mentions, and teacher responses","महफ़िल रिप्लाई, मेंशन और टीचर के जवाब","Mehfil reply, mensana aur teacher ke javaab",,Needs human review
channel_course_updates,SafarNotificationChannels,Course updates,कोर्स अपडेट्स,course updates,,Needs human review
channel_course_updates_desc,SafarNotificationChannels,"New classes, lessons, tests, and study material","नई क्लास, लेसन, टेस्ट और स्टडी मटेरियल","nai class, lesana, test aur study material",,Needs human review
channel_ekagra_check_ins,SafarNotificationChannels,Ekagra check-ins,एकाग्र चेक-इन,Ekagra check-ins,,Needs human review
channel_ekagra_check_ins_desc,SafarNotificationChannels,Time-sensitive confirmations during long Ekagra sessions,लंबे एकाग्र सत्रों के दौरान दोस्ताना चेक-इन,Lambee Ekagra sessions ke dauran friendly check-ins,,Needs human review
channel_ekagra_timer,SafarNotificationChannels,Ekagra timer,एकाग्र टाइमर,ekagra timer,,Needs human review
channel_ekagra_timer_desc,SafarNotificationChannels,Active Ekagra timer and break status,चल रहे एकाग्र टाइमर और ब्रेक का स्टेटस,chala rahe ekagra timer aur breka ka status,,Needs human review
channel_kavach_alerts,SafarNotificationChannels,KAVACH alerts,कवच अलर्ट्स,Kavach alerts,,Needs human review
channel_kavach_alerts_desc,SafarNotificationChannels,Alerts when a blocked app is opened during an active Ekagra session,एकाग्र सेशन में ब्लॉक ऐप खुलने पर अलर्ट,ekagra session mein block app khulne par alert,,Needs human review
channel_kavach_blocked,SafarNotificationChannels,KAVACH blocked app,कवच ब्लॉक्ड ऐप,Kavach blokda app,,Needs human review
channel_kavach_blocked_desc,SafarNotificationChannels,Shown when a blocked app is opened during an active Ekagra or Study Session,एकाग्र या स्टडी सेशन में ब्लॉक ऐप खुलने पर दिखेगा,ekagra ya study session mein block app khulne par dikhega,,Needs human review
channel_kavach_status,SafarNotificationChannels,KAVACH status,कवच स्टेटस,Kavach status,,Needs human review
channel_kavach_status_desc,SafarNotificationChannels,Ongoing KAVACH status during an active Ekagra or Study Session,चल रहे एकाग्र या स्टडी सेशन में कवच का स्टेटस,chala rahe ekagra ya study session mein Kavach ka status,,Needs human review
channel_study_reminders,SafarNotificationChannels,Study reminders,स्टडी रिमाइंडर्स,study reminders,,Needs human review
channel_study_reminders_desc,SafarNotificationChannels,"Daily study reminders, planned sessions, and streak protection","डेली स्टडी, प्लान किए सेशन्स और स्ट्रीक के रिमाइंडर","daily study, plan kiye sessions aur streak ke reminder",,Needs human review
channel_youtube_focus,SafarNotificationChannels,YouTube Focus,YouTube फ़ोकस,YouTube focus,Latin text in Hindi: inspect names/technical terms,Needs human review
channel_youtube_focus_desc,SafarNotificationChannels,Channel blocking and classification actions,चैनल ब्लॉक और कैटेगरी से जुड़े एक्शन,channel block aur category se jure eksana,,Needs human review
channel_youtube_status,SafarNotificationChannels,YouTube Focus status,YouTube फ़ोकस स्टेटस,YouTube focus status,Latin text in Hindi: inspect names/technical terms,Needs human review
channel_youtube_status_desc,SafarNotificationChannels,Monitoring status and accessibility-service health,मॉनिटरिंग और एक्सेसिबिलिटी सर्विस का स्टेटस,monitaringa aur eksesibiliti service ka status,,Needs human review
channel_youtube_study_status,SafarNotificationChannels,YouTube study status,YouTube स्टडी स्टेटस,YouTube study status,Latin text in Hindi: inspect names/technical terms,Needs human review
channel_youtube_study_status_desc,SafarNotificationChannels,Ongoing YouTube study protection indicator,YouTube स्टडी प्रोटेक्शन का स्टेटस,YouTube study protection ka status,Latin text in Hindi: inspect names/technical terms,Needs human review
checkin_context_tags,,Context Tags,प्रसंग टैग,Context Tags,,Needs human review
checkin_do_checkin,CheckInScreen,Check-In,चेक-इन,check-in,,Needs human review
checkin_high,CheckInScreen,High,ज़्यादा,High,,Needs human review
checkin_history,CheckInScreen,History,पुराना रिकॉर्ड,History,,Needs human review
checkin_history_title,CheckInScreen,Mood History,मूड का रिकॉर्ड,Mood History,,Needs human review
checkin_how_feeling,CheckInScreen,How are you feeling?,आप कैसा महसूस कर रहे हैं?,Aap kaisa feel kar rahe hain?,,Needs human review
checkin_intensity,CheckInScreen,Intensity,तीव्रता,Intensity,,Needs human review
checkin_intensity_value,CheckInScreen,Intensity: %d/10,तीव्रता: %d/10,teevrata: %d/10,,Needs human review
checkin_low,CheckInScreen,Low,कम,Low,,Needs human review
checkin_no_history,CheckInScreen,No check-ins yet,अभी तक कोई चेक-इन नहीं हुआ,abhi tak koi check-in nahi hua,,Needs human review
checkin_note_hint,CheckInScreen,What caused this mood? (optional),इस मूड की क्या वजह रही? (वैकल्पिक),is mood ki kya wajah rahi? (optional),,Needs human review
checkin_save,CheckInScreen,Save Check-In,चेक-इन सेव करें,Save Check-In,,Needs human review
checkin_select_mood,CheckInScreen,Select a mood,मूड चुनें,Select a mood,,Needs human review
checkin_today,CheckInScreen,Today,आज,Today,,Needs human review
close,DhyanYoutubeComponents,Close,बंद करें,band karein,,Needs human review
common_about_named,MixedBagSubjectPickerStep; PlanSettingsStep,About %1$s,%1$s के बारे में,%1$s ke baare mein,,Needs human review
common_accept,MehfilTabs,Accept,Accept करें,Accept,Latin text in Hindi: inspect names/technical terms,Needs human review
common_accessibility,YoutubeFocusAccessibilityTutorialSheet,Accessibility,Accessibility,Accessibility,Latin text in Hindi: inspect names/technical terms,Needs human review
common_add,ChapterTopicsSheet; EkagraTagSelector; ManualTopicTreeStep; PlanTabV2Components,Add,जोड़ें,Add,,Needs human review
common_agree_continue,YoutubeStudyV2Screen,Agree and continue,Agree करके आगे बढ़ें,Agree karke aage badhein,Latin text in Hindi: inspect names/technical terms,Needs human review
common_all,AchievementsScreen; MehfilTabs,ALL,सभी,sabhi,,Needs human review
common_allow,KavachOnboardingScreen; KavachUiComponents; YoutubeFocusAccessibilityTutorialSheet; YoutubeStudyV2Screen,Allow,अनुमति दें,Allow,,Needs human review
